Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bermuda,146.04,98.58,123.8,148.66,159.17,81.07
2,Switzerland,123.35,53.54,90.62,128.13,122.09,118.44
3,Norway,100.9,34.68,69.86,97.31,105.49,83.11
4,Iceland,94.86,41.93,70.05,90.22,99.42,77.06
5,Barbados,92.37,21.99,59.38,87.81,78.18,32.08
6,Jersey,92.02,65.33,79.51,76.88,94.65,79.14
7,Israel,88.05,33.94,62.69,76.72,95.31,75.58
8,Denmark,84.12,33.23,60.26,68.6,98.75,99.45
9,Bahamas,84,35.34,61.19,70.59,89.09,45.07
10,Singapore,83.98,66.43,75.75,77.08,61.17,91.34
11,Guernsey,83.59,54.02,69.73,76.76,89.98,71.57
12,Hong Kong,80.71,74.57,77.83,84.72,58.58,65.74
13,Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84
14,Australia,77.75,36.84,58.57,77.44,72.95,104.63
15,Japan,77.03,25.86,53.04,81.31,45.4,87.11
16,Ireland,76.05,42.08,60.13,62.1,80.4,82.27
17,Netherlands,75.66,36.06,57.1,65.49,76.35,87.99
18,New Zealand,74.52,34.44,55.73,72.04,70.05,83.63
19,France,74.13,25.33,51.26,73.64,71.84,85.41
20,South Korea,73.22,20.02,48.28,91.95,42.1,76.85
21,Finland,73.2,25.95,51.05,65.16,77.65,91.02
22,Belgium,72.61,25.79,50.67,63.32,78.63,79.72
23,Sweden,71.74,25.86,50.23,65.78,72.61,98.14
24,Austria,71.04,27.13,50.46,65.88,66.03,77.25
25,Canada,70.22,34.33,53.4,70.01,67.86,87.98
26,United States,70.13,42.07,56.98,70.37,70.07,106.34
27,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
28,Lebanon,69.62,24.81,48.61,66.83,54.25,35.12
29,Malta,67.84,29.72,49.97,59.59,72.42,44.18
30,Macao,66.81,43,55.65,67.9,51.32,69.27
31,Puerto Rico,66.53,18.4,43.97,69.6,55.6,72.78
